Classification Models – Enhanced,,Median (95% Confidence Interval),,,,
Set,Model,Accuracy ,Recall,Precision,F1,Matthews Correlation Coefficient
Training Set (89964 DTIs),Dummy Classifier,0.73 (0.70-0.76),1.00 (1.00-1.00),0.73 (0.70-0.76),0.84 (0.83-0.86),0 (0 -0)
Training Set (89964 DTIs),Logistic Regression,0.78 (0.75-0.80),0.96 (0.95-0.98),0.78 (0.75-0.81),0.86 (0.84-0.88),0.35 (0.28-0.42)
Training Set (89964 DTIs),Linear Support Vector Classification,0.79 (0.77-0.82),0.92 (0.90-0.94),0.82 (0.79-0.85),0.87 (0.85-0.88),0.43 (0.36-0.49)
Training Set (89964 DTIs),K-Nearest Neighbour Classifier,0.90 (0.88-0.91),0.96 (0.94-0.97),0.91 (0.88-0.92),0.93 (0.92-0.94),0.72 (0.67-0.77)
Training Set (89964 DTIs),Decision Tree Classifier,1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00)
Training Set (89964 DTIs),Random Forest Classifier,1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00)
Training Set (89964 DTIs),Stochastic Gradient Descent Classifier,0.79 (0.76-0.81),0.95 (0.93-0.97),0.80 (0.77-0.83),0.87 (0.85-0.89),0.40 (0.34-0.47)
,,,,,,
,,,,,,
Classification Models – Enhanced,,Median (95% Confidence Interval),,,,
Set,Model,Accuracy ,Recall,Precision,F1,Matthews Correlation Coefficient
Test Set (740 DTIs),Dummy Classifier,0.68 (0.64-0.73),1.00 (1.00-1.00),0.68 (0.64-0.73),0.81 (0.78-0.84),0 (0-0)
Test Set (740 DTIs),Logistic Regression,0.72 (0.68-0.76),0.92 (0.89-0.95),0.73 (0.69-0.78),0.82 (0.79-0.84),0.28 (0.18-0.37)
Test Set (740 DTIs),Linear Support Vector Classification,0.72 (0.68-0.76),0.85 (0.81-0.89),0.77 (0.73-0.81),0.80 (0.77-0.84),0.32 (0.22-0.41)
Test Set (740 DTIs),K-Nearest Neighbour Classifier,0.75 (0.71-0.79),0.86 (0.82-0.90),0.79 (0.75-0.83),0.82 (0.79-0.85),0.40 (0.31-0.48)
Test Set (740 DTIs),Decision Tree Classifier,0.62 (0.58-0.66),0.69 (0.64-0.74),0.74 (0.69-0.79),0.71 (0.67-0.75),0.17 (0.07-0.26)
Test Set (740 DTIs),Random Forest Classifier,0.76 (0.72-0.80),0.92 (0.89-0.95),0.77 (0.73-0.81),0.84 (0.81-0.87),0.41 (0.32-0.50)
Test Set (740 DTIs),Stochastic Gradient Descent Classifier,0.73 (0.69-0.77),0.92 (0.88-0.94),0.75 (0.70-0.79),0.82 (0.79-0.85),0.31 (0.22-0.40)
,,,,,,
,,,,,,
Neural Network,,,,,,
Set,Accuracy ,Recall,Precision,F1,Matthews Correlation Coefficient,
Test Set (808 DTIs),0.70,0.7,0.83,0.79,0.36,
